feature,importance
ECFP4_1321,1
ECFP4_1326,1
ECFP4_1327,1
ECFP4_270,1
ECFP4_529,1
ECFP4_603,1
ECFP4_268,1
ECFP4_219,1
ECFP4_659,1
ECFP4_1351,1
ECFP4_1350,1
ECFP4_1348,1
ECFP4_1498,1
ECFP4_2020,1
ECFP4_1343,1
ECFP4_1342,1
ECFP4_1489,1
ECFP4_1490,1
ECFP4_160,1
ECFP4_524,1
ECFP4_648,1
ECFP4_180,1
ECFP4_790,1
ECFP4_828,1
ECFP4_1089,1
ECFP4_769,1
ECFP4_1085,1
ECFP4_770,1
ECFP4_478,1
ECFP4_86,1
ECFP4_1074,1
ECFP4_1839,1
ECFP4_81,1
ECFP4_460,1
ECFP4_929,1
ECFP4_1062,1
ECFP4_1061,1
ECFP4_78,1
ECFP4_1056,1
ECFP4_780,1
ECFP4_371,1
ECFP4_429,1
ECFP4_354,1
ECFP4_1134,1
ECFP4_764,1
ECFP4_898,1
ECFP4_1129,1
ECFP4_1922,1
ECFP4_344,1
ECFP4_1815,1
ECFP4_900,1
ECFP4_830,1
ECFP4_903,1
ECFP4_347,1
ECFP4_1109,1
ECFP4_905,1
ECFP4_90,1
ECFP4_760,1
ECFP4_906,1
ECFP4_1102,1
ECFP4_1918,1
ECFP4_432,1
ECFP4_423,1
ECFP4_816,1
ECFP4_1043,1
ECFP4_1849,1
ECFP4_808,1
ECFP4_399,1
ECFP4_998,1
ECFP4_1887,1
ECFP4_463,1
ECFP4_1967,1
ECFP4_1885,1
ECFP4_991,1
ECFP4_987,1
ECFP4_1884,1
ECFP4_966,1
ECFP4_1962,1
ECFP4_65,1
ECFP4_406,1
ECFP4_1876,1
ECFP4_1877,1
ECFP4_975,1
ECFP4_1957,1
ECFP4_1892,1
ECFP4_951,1
ECFP4_1895,1
ECFP4_783,1
ECFP4_785,1
ECFP4_475,1
ECFP4_940,1
ECFP4_384,1
ECFP4_390,1
ECFP4_1024,1
ECFP4_1022,1
ECFP4_1008,1
ECFP4_787,1
ECFP4_391,1
ECFP4_393,1
ECFP4_1018,1
ECFP4_1893,1
ECFP4_948,1
ECFP4_419,1
ECFP4_1131,1
ECFP4_458,1
ECFP4_897,1
ECFP4_440,1
ECFP4_845,1
ECFP4_844,1
ECFP4_870,1
ECFP4_111,1
ECFP4_110,1
ECFP4_496,1
ECFP4_1188,1
ECFP4_338,1
ECFP4_723,1
ECFP4_724,1
ECFP4_107,1
ECFP4_1176,1
ECFP4_325,1
ECFP4_730,1
ECFP4_839,1
ECFP4_846,1
ECFP4_847,1
ECFP4_1771,1
ECFP4_1211,1
ECFP4_710,1
ECFP4_121,1
ECFP4_307,1
ECFP4_851,1
