experiment_id,rmse,rmse_ci_lo,rmse_ci_hi,pearson_r,pearson_ci_lo,pearson_ci_hi,spearman_r,spearman_ci_lo,spearman_ci_hi,n_bootstrap,n_test
xgb_ecfp4_aac__seed123,1.1302,1.1056,1.1564,0.6403,0.6199,0.658,0.59,0.5667,0.6096,1000,4925
xgb_smiles_char_prot_electra_256,1.1309,1.1029,1.1556,0.6638,0.6452,0.6835,0.5893,0.5677,0.6128,1000,4715
xgb_chemberta_aac__seed123,1.1324,1.1067,1.1565,0.6282,0.6099,0.6473,0.5824,0.5605,0.6016,1000,4925
xgb_smiles_char_protein_char,1.1329,1.1063,1.1568,0.6642,0.647,0.6819,0.5914,0.5691,0.6136,1000,4715
mlp_chemberta_600_esm2_35M_480,1.1334,1.1018,1.1615,0.6779,0.6582,0.6973,0.609,0.5884,0.6301,1000,4715
mlp_ecfp6_1024_kmer3_8000,1.1335,1.1062,1.1602,0.6844,0.6652,0.7028,0.5984,0.5753,0.6204,1000,4715
mlp_chemberta_5M_esmc_300M,1.1378,1.1087,1.1629,0.6829,0.6632,0.7014,0.6187,0.5974,0.6399,1000,4715
mlp_chemberta_77M_prot_electra_256,1.1405,1.1101,1.1703,0.6715,0.6515,0.693,0.6133,0.5923,0.6359,1000,4715
distmat_cnn_distmat_100_esmc_300M,1.1423,1.1138,1.1694,0.6731,0.6532,0.6914,0.6119,0.5903,0.6312,1000,4715
mlp_chemberta_esm2_8M_ranked,1.1432,1.1131,1.1709,0.6647,0.6438,0.6852,0.598,0.5754,0.6219,1000,4715
mlp_chemberta_100M_esm2_150M,1.144,1.1146,1.1698,0.6726,0.6538,0.6913,0.5986,0.5777,0.6199,1000,4715
mlp_chemberta_100M_prot_electra_256,1.1442,1.1147,1.1717,0.6746,0.6554,0.6934,0.6042,0.5831,0.6265,1000,4715
distmat_cnn_kmer3_8000,1.1448,1.1147,1.1736,0.6737,0.654,0.693,0.6037,0.5808,0.6245,1000,4715
lstm_smiles_bpe_1000_protein_bpe_1000,1.1456,1.1137,1.1726,0.6595,0.6406,0.6797,0.5812,0.5604,0.6043,1000,4715
lstm_smiles_atom_protein_bpe_1000,1.1456,1.1169,1.1699,0.6566,0.637,0.6755,0.5679,0.5465,0.5902,1000,4715
mlp_chemberta_prot_electra,1.1466,1.1152,1.175,0.6813,0.6606,0.7027,0.6188,0.5957,0.6402,1000,4715
bica_chemberta_5M_esm2_8M_320,1.1468,1.1151,1.1738,0.6748,0.6554,0.6945,0.6047,0.5837,0.6261,1000,4715
transformer_chemberta_100M_esm2_35M_480,1.154,1.1259,1.1816,0.6777,0.6584,0.6961,0.6023,0.5803,0.6246,1000,4715
distmat_cnn_distmat_100_esm2_650M,1.1548,1.1265,1.1812,0.6541,0.6332,0.672,0.581,0.5593,0.6027,1000,4715
transformer_chemberta_5M_esmc_300M,1.155,1.1248,1.1805,0.6893,0.6716,0.7077,0.6143,0.5946,0.6371,1000,4715
bica_chemberta_77M_esm2_650M,1.156,1.1272,1.1843,0.6615,0.6412,0.682,0.5765,0.5537,0.5996,1000,4715
transformer_chemberta_77M_esm2_150M,1.1568,1.1276,1.1823,0.665,0.6453,0.6849,0.591,0.5687,0.6144,1000,4715
mlp_medium_ecfp4_dipeptide__seed123,1.157,1.1285,1.1859,0.6396,0.6178,0.6596,0.5976,0.5765,0.618,1000,4925
mlp_chemberta_600_esm2_150M,1.158,1.1243,1.1892,0.6722,0.6509,0.6927,0.6136,0.5922,0.6358,1000,4715
mamba_smiles_bpe_1000_protein_bpe_1000,1.1581,1.1295,1.1839,0.6558,0.6362,0.6751,0.5892,0.5679,0.6116,1000,4715
transformer_chemberta_esm2_8M,1.1583,1.1289,1.1837,0.6753,0.656,0.6941,0.5982,0.5774,0.6207,1000,4715
transformer_chemberta_100M_esm2_8M_320,1.1589,1.1303,1.1846,0.6764,0.6578,0.6947,0.5968,0.574,0.6183,1000,4715
distmat_cnn_distmat_100_prot_electra_256,1.159,1.1288,1.1875,0.6645,0.6433,0.6839,0.589,0.5659,0.6125,1000,4715
mlp_medium_ecfp4_dipeptide__seed456,1.1591,1.1342,1.1849,0.6464,0.6262,0.6659,0.5736,0.5514,0.5955,1000,4837
mlp_chemberta_77M_esm2_150M,1.1592,1.1274,1.1895,0.6681,0.6475,0.6881,0.6029,0.5813,0.6236,1000,4715
distmat_cnn_prot_electra_256,1.1604,1.1297,1.1875,0.6626,0.6426,0.6812,0.5959,0.5738,0.6191,1000,4715
transformer_chemberta_77M_esm2_650M,1.1625,1.1311,1.192,0.6671,0.6481,0.6877,0.6114,0.5906,0.6328,1000,4715
mlp_chemberta_esm2_8M__seed456,1.1627,1.1378,1.1861,0.5995,0.5767,0.6213,0.5004,0.4758,0.5239,1000,4837
lstm_smiles_atom_protein_char,1.1654,1.1383,1.1898,0.6525,0.632,0.6722,0.566,0.5422,0.589,1000,4715
bica_chemberta_600_kmer3_8000,1.1661,1.1363,1.1942,0.6511,0.63,0.6718,0.5804,0.5569,0.6034,1000,4715
mlp_chemberta_100M_esm2_35M_480,1.1665,1.1415,1.192,0.6562,0.6358,0.6746,0.57,0.5462,0.593,1000,4715
bica_chemberta_5M_esm2_150M,1.1673,1.1359,1.1976,0.6484,0.6272,0.6696,0.5751,0.5516,0.599,1000,4715
mlp_chemberta_esm2_35M,1.1692,1.1367,1.2023,0.6648,0.6426,0.6859,0.5966,0.5748,0.6215,1000,4715
mamba_smiles_bpe_1000_protein_char,1.1722,1.143,1.1983,0.6367,0.6171,0.6563,0.5649,0.5438,0.5883,1000,4715
bica_chemberta_esm2_8M__seed123,1.1729,1.1438,1.198,0.6289,0.6092,0.6485,0.5799,0.5586,0.6001,1000,4925
mamba_smiles_char_protein_char,1.1755,1.148,1.2015,0.6469,0.6275,0.6654,0.5597,0.5379,0.5836,1000,4715
bica_chemberta_esm2_8M,1.1764,1.1473,1.2039,0.6551,0.6341,0.6747,0.5806,0.5588,0.6037,1000,4715
bica_chemberta_600_prot_electra_256,1.1775,1.1458,1.2084,0.6541,0.6323,0.6752,0.5877,0.5652,0.6101,1000,4715
mamba_smiles_bpe1000_protein_bpe1000,1.1778,1.1464,1.2076,0.6457,0.6241,0.6667,0.5588,0.5355,0.5818,1000,4715
bica_chemberta_100M_esm2_650M,1.1791,1.1519,1.207,0.6446,0.6239,0.6639,0.565,0.5422,0.588,1000,4715
transformer_chemberta_77M_esmc_300M,1.1791,1.152,1.2024,0.631,0.6112,0.6517,0.5552,0.5329,0.5786,1000,4715
bica_chemberta_esm2_8M_ranked,1.1798,1.1515,1.207,0.6436,0.6216,0.6639,0.5643,0.5403,0.5878,1000,4715
transformer_chemberta_100M_esmc_300M,1.1805,1.1519,1.2092,0.6645,0.6456,0.6832,0.6005,0.5801,0.6225,1000,4715
mamba_smiles_atom_protein_char,1.1808,1.1511,1.205,0.6438,0.625,0.6629,0.5847,0.5636,0.6075,1000,4715
mlp_chemberta_100M_esm2_8M_320,1.181,1.1548,1.2068,0.6333,0.6135,0.6526,0.5659,0.5436,0.588,1000,4715
bica_chemberta_5M_prot_electra_256,1.181,1.1501,1.2109,0.6407,0.6185,0.6615,0.573,0.5515,0.5955,1000,4715
mlp_chemberta_esm2_8M__seed123,1.182,1.1528,1.2104,0.6396,0.6188,0.6583,0.6025,0.5812,0.6225,1000,4925
bica_chemberta_600_esm2_35M_480,1.1839,1.1505,1.2145,0.6411,0.6178,0.6636,0.5738,0.5506,0.5967,1000,4715
bica_chemberta_600_esm2_650M,1.1839,1.1532,1.211,0.6442,0.6221,0.6652,0.5797,0.5569,0.6014,1000,4715
transformer_chemberta_77M_prot_electra_256,1.1841,1.1568,1.2099,0.6383,0.6184,0.6579,0.56,0.5372,0.5832,1000,4715
bica_chemberta_prot_electra,1.1858,1.1563,1.2128,0.631,0.611,0.6514,0.5756,0.5542,0.5972,1000,4715
bica_ecfp4_aac__seed456,1.186,1.1576,1.2135,0.59,0.5663,0.6134,0.5208,0.4965,0.5446,1000,4837
transformer_chemberta_600_esm2_650M,1.1864,1.1555,1.2144,0.661,0.6398,0.6824,0.5898,0.5661,0.614,1000,4715
bica_chemberta_600_esmc_300M,1.1867,1.1569,1.2128,0.6518,0.6323,0.6715,0.5801,0.5584,0.6025,1000,4715
bica_chemberta_600_esm2_150M,1.1871,1.1571,1.2157,0.6273,0.6037,0.6502,0.5391,0.5147,0.5652,1000,4715
distmat_cnn_distmat_100_esm2_8M_320,1.1873,1.1586,1.2139,0.6496,0.63,0.6685,0.5787,0.5575,0.6012,1000,4715
bica_chemberta_100M_esm2_150M,1.1874,1.1562,1.2161,0.6369,0.6149,0.6587,0.5529,0.5291,0.5773,1000,4715
transformer_chemberta_600_kmer3_8000,1.1883,1.1562,1.2172,0.6555,0.6346,0.6778,0.5771,0.5528,0.6018,1000,4715
bica_chemberta_600_esm2_8M_320,1.1887,1.1591,1.2157,0.6324,0.6111,0.6527,0.5598,0.5368,0.5829,1000,4715
bica_chemberta_esm2_8M__seed456,1.1901,1.1643,1.2175,0.5814,0.5577,0.6046,0.5024,0.4775,0.5255,1000,4837
transformer_chemberta_5M_esm2_650M,1.1906,1.1634,1.2161,0.6164,0.5962,0.6374,0.5553,0.5331,0.5783,1000,4715
lstm_smiles_char_protein_bpe_1000,1.1907,1.1611,1.2162,0.631,0.61,0.6517,0.532,0.5075,0.5568,1000,4715
transformer_chemberta_100M_esm2_650M,1.1909,1.1648,1.2163,0.6412,0.6222,0.6596,0.5659,0.5433,0.5888,1000,4715
transformer_chemberta_600_esm2_35M_480,1.1912,1.161,1.2181,0.6455,0.6244,0.6667,0.5584,0.5356,0.5819,1000,4715
transformer_chemberta_esm2_35M,1.1914,1.1629,1.2194,0.6202,0.5984,0.6402,0.5519,0.5286,0.575,1000,4715
mlp_deep_ecfp6_kmer3,1.1926,1.1627,1.2221,0.6594,0.6397,0.6789,0.5805,0.5567,0.6026,1000,4715
mlp_chemberta_esm2_8M,1.1931,1.16,1.2223,0.6472,0.6261,0.6685,0.5923,0.571,0.615,1000,4715
bica_chemberta_77M_esm2_8M_320,1.1932,1.1602,1.2233,0.6529,0.6326,0.673,0.5907,0.5688,0.6136,1000,4715
gat_mol_graph_esm2_650M,1.1939,1.1616,1.224,0.6434,0.6219,0.6644,0.584,0.5602,0.6059,1000,4715
mlp_deep_ecfp6_kmer3__seed123,1.194,1.1657,1.2215,0.6263,0.6049,0.6479,0.5677,0.5449,0.5902,1000,4925
lstm_smiles_bpe512_protein_bpe512,1.1947,1.164,1.2216,0.646,0.6262,0.6665,0.573,0.5513,0.5955,1000,4715
gat_ecfp_esm2_8M_ranked,1.1963,1.166,1.2257,0.6434,0.6221,0.6636,0.583,0.5599,0.6049,1000,4715
transformer_chemberta_100M_esm2_150M,1.197,1.1675,1.2251,0.6278,0.606,0.6496,0.55,0.5267,0.5738,1000,4715
transformer_chemberta_600_prot_electra_256,1.1976,1.1692,1.2259,0.635,0.6125,0.6567,0.5595,0.537,0.5838,1000,4715
transformer_chemberta_77M_esm2_8M_320,1.1979,1.1684,1.223,0.6365,0.6174,0.6565,0.5466,0.5239,0.5706,1000,4715
transformer_ecfp6_1024_prot_electra_256,1.198,1.1697,1.2226,0.6332,0.6141,0.6535,0.5483,0.5267,0.5714,1000,4715
transformer_chemberta_5M_prot_electra_256,1.202,1.1751,1.2274,0.6412,0.6213,0.661,0.5627,0.5403,0.5856,1000,4715
gcn_mol_graph_esm2_35M_480,1.2024,1.1726,1.2279,0.6156,0.5942,0.6368,0.5504,0.528,0.574,1000,4715
transformer_chemberta_600_esm2_150M,1.2029,1.1726,1.2287,0.6346,0.6125,0.6555,0.5636,0.54,0.588,1000,4715
mlp_chemberta_aac,1.2032,1.171,1.2332,0.6286,0.6075,0.6499,0.5666,0.5458,0.5924,1000,4715
bica_chemberta_100M_esm2_35M_480,1.2033,1.1745,1.2305,0.6281,0.606,0.6487,0.5451,0.5208,0.5703,1000,4715
mlp_ecfp6_1024_prot_electra_256,1.2036,1.1728,1.2319,0.6552,0.6353,0.6749,0.5842,0.5616,0.6076,1000,4715
bica_chemberta_77M_esm2_150M,1.204,1.1725,1.2325,0.6264,0.6037,0.6485,0.5579,0.5339,0.5812,1000,4715
gcn_mol_graph_esmc_300M,1.2073,1.1741,1.2352,0.6276,0.6063,0.649,0.5652,0.5417,0.5871,1000,4715
gcn_mol_graph_esm2_150M,1.2086,1.1699,1.2415,0.634,0.6118,0.6566,0.592,0.5694,0.6139,1000,4715
gat_mol_graph_esmc_300M,1.2088,1.1785,1.2379,0.6326,0.6117,0.6526,0.5705,0.5483,0.594,1000,4715
transformer_ecfp4_aac,1.2095,1.1816,1.2355,0.6062,0.5848,0.6259,0.55,0.5281,0.5721,1000,4715
transformer_seq_smiles_atom_protein_char,1.2096,1.1836,1.2337,0.6061,0.5847,0.6248,0.5138,0.4897,0.5368,1000,4715
transformer_chemberta_600_esm2_8M_320,1.2099,1.1796,1.2408,0.6614,0.6415,0.6807,0.5781,0.5555,0.6015,1000,4715
transformer_seq_smiles_char_protein_bpe_1000,1.2108,1.1813,1.2372,0.605,0.5828,0.6254,0.524,0.5008,0.5491,1000,4715
bica_chemberta_prot_electra_dsm,1.2115,1.181,1.2423,0.6277,0.605,0.6488,0.5528,0.5289,0.5771,1000,4715
transformer_chemberta_5M_esm2_35M_480,1.2127,1.1833,1.2404,0.64,0.6191,0.6606,0.581,0.5607,0.604,1000,4715
mlp_ecfp4_esm2_8M__seed123,1.2141,1.1862,1.2437,0.6097,0.5868,0.6305,0.5505,0.5276,0.572,1000,4925
gcn_mol_graph_kmer3_8000,1.2141,1.1834,1.2409,0.6201,0.5989,0.6418,0.5558,0.5325,0.5789,1000,4715
bica_ecfp6_1024_kmer3_8000,1.2144,1.1839,1.2451,0.6334,0.6115,0.6536,0.5706,0.5476,0.5924,1000,4715
gat_mol_graph_esm2_35M_480,1.2148,1.1803,1.2478,0.6349,0.6134,0.6571,0.5841,0.5619,0.607,1000,4715
