experiment_id,model_family,ligand_repr,protein_repr,test_rmse,test_pearson_r,test_spearman_r
gcn_mol_graph_kmer3_8000,gcn,mol_graph,kmer3_8000,1.2141,0.6201,0.5558
bica_ecfp6_1024_kmer3_8000,bica,ecfp6_1024,kmer3_8000,1.2144,0.6334,0.5706
gat_mol_graph_esm2_35M_480,gat,mol_graph,esm2_35M_480,1.2148,0.6349,0.5841
transformer_ecfp6_1024_kmer3_8000,transformer,ecfp6_1024,kmer3_8000,1.2153,0.6366,0.5616
gcn_mol_graph_esm2_8M_320,gcn,mol_graph,esm2_8M_320,1.2156,0.636,0.5908
gcn_ecfp_esm2_8M,gcn,mol_graph,esm2_8M_320,1.2158,0.64,0.5964
gat_mol_graph_kmer3_8000,gat,mol_graph,kmer3_8000,1.2161,0.6407,0.5842
mlp_smiles_char_kmer3_8000,mlp,smiles_char,kmer3_8000,1.217,0.611,0.5143
gcn_ecfp_esm2_8M_recon,gcn,mol_graph,esm2_8M_320,1.2187,0.6132,0.561
mlp_ecfp6_1024_protein_char,mlp,ecfp6_1024,protein_char,1.2192,0.6263,0.5501
transformer_seq_smiles_char_protein_char,transformer_seq,smiles_char,protein_char,1.2215,0.5985,0.5097
transformer_chemberta_77M_esm2_35M_480,transformer,chemberta_77M,esm2_35M_480,1.2216,0.6275,0.56
lstm_smiles_bpe1000_protein_bpe1000,lstm,smiles_bpe_1000,protein_bpe_1000,1.2227,0.6321,0.588
bica_chemberta_100M_esmc_300M,bica,chemberta_100M,esmc_300M,1.2243,0.6223,0.5474
transformer_seq_smiles_atom_protein_bpe_1000,transformer_seq,smiles_atom,protein_bpe_1000,1.2247,0.6161,0.5188
transformer_chemberta_5M_esm2_8M_320,transformer,chemberta_5M,esm2_8M_320,1.2255,0.6171,0.5439
gcn_mol_graph_prot_electra_256,gcn,mol_graph,prot_electra_256,1.2255,0.6149,0.5608
bica_chemberta_5M_esm2_35M_480,bica,chemberta_5M,esm2_35M_480,1.2271,0.5991,0.5504
gat_mol_graph_prot_electra_256,gat,mol_graph,prot_electra_256,1.2274,0.6224,0.5582
mamba_smiles_atom_protein_bpe_1000,mamba,smiles_atom,protein_bpe_1000,1.2279,0.5837,0.5106
transformer_seq_smiles_bpe512_protein_bpe512,transformer_seq,smiles_bpe_512,protein_bpe_512,1.2282,0.5861,0.5342
gat_mol_graph_esm2_150M,gat,mol_graph,esm2_150M,1.2285,0.6233,0.5664
bica_chemberta_77M_prot_electra_256,bica,chemberta_77M,prot_electra_256,1.2297,0.5852,0.5032
transformer_smiles_char_prot_electra_256,transformer,smiles_char,prot_electra_256,1.2299,0.5876,0.5093
gcn_mol_graph_esm2_650M,gcn,mol_graph,esm2_650M,1.2329,0.6006,0.5583
bica_smiles_char_kmer3_8000,bica,smiles_char,kmer3_8000,1.2339,0.5841,0.5056
mamba_smiles_bpe512_protein_bpe512,mamba,smiles_bpe_512,protein_bpe_512,1.234,0.6303,0.5746
transformer_chemberta_600_esmc_300M,transformer,chemberta_600,esmc_300M,1.2352,0.5875,0.5163
gp_ecfp4_aac,gp,ecfp4_1024,aac_20,1.2376,0.5866,0.5186
gp_ecfp4_rbf,gp,ecfp4_1024,none,1.2383,0.5857,0.5167
gp_ecfp4_matern,gp,ecfp4_1024,none,1.2388,0.5849,0.521
