timestamp,experiment_id,model_name,model_family,ligand_repr,protein_repr,fusion_strategy,n_params,epochs_trained,batch_size,learning_rate,split_type,n_train,n_val,n_test,val_rmse,val_pearson_r,val_spearman_r,test_rmse,test_pearson_r,test_spearman_r,train_time_sec,notes
2026-04-02 10:45:52 UTC,transformer_seq_smiles_atom_protein_wordpiece512,transformer_seq_smiles_atom_protein_wordpiece512,transformer_seq,smiles_atom,protein_wordpiece_512,dual_encoder,1114113.0,31.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3839,0.2997,0.2009,1.336,0.4881,0.3535,135.9,"Learned-embedding transformer, WordPiece protein"
2026-04-02 11:00:33 UTC,distmat_cnn_aac,distmat_cnn_aac,distmat_cnn,distmat_100,aac_20,distmat,1285345.0,54.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.2815,0.4546,0.406,1.303,0.5112,0.4726,866.8,2D CNN on RDKit topological distance matrix + AAC
2026-04-02 11:26:09 UTC,distmat_cnn_esm2_8M,distmat_cnn_esm2_8M,distmat_cnn,distmat_100,esm2_8M_320,distmat,1438945.0,77.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1188,0.6319,0.5758,1.1147,0.6902,0.6195,1235.2,2D CNN on RDKit distance matrix + ESM-2 8M
2026-04-02 11:27:22 UTC,gcn_ecfp_aac,gcn_ecfp_aac,gcn,mol_graph,aac_20,graph,251777.0,42.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.2649,0.4666,0.3767,1.3472,0.5171,0.4694,48.9,3-layer GCN + AAC protein vector
2026-04-02 11:29:25 UTC,gcn_ecfp_esm2_8M,gcn_ecfp_esm2_8M,gcn,mol_graph,esm2_8M_320,graph,405377.0,70.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1099,0.64,0.5653,1.2158,0.64,0.5964,98.6,3-layer GCN + ESM-2 8M protein
2026-04-02 11:31:35 UTC,gat_ecfp_aac,gat_ecfp_aac,gat,mol_graph,aac_20,graph,252545.0,38.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.29,0.4356,0.3231,1.3525,0.5089,0.4499,101.4,3-layer GAT (4 heads) + AAC protein vector
2026-04-02 11:33:57 UTC,gat_ecfp_esm2_8M,gat_ecfp_esm2_8M,gat,mol_graph,esm2_8M_320,graph,406145.0,34.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1526,0.5948,0.5305,1.2551,0.5978,0.5623,93.8,3-layer GAT (4 heads) + ESM-2 8M protein
2026-04-02 11:34:56 UTC,bica_ecfp4_aac,bica_ecfp4_aac,bica,ecfp4_1024,aac_20,bidirectional_cross_attn,1356545.0,23.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.2706,0.5029,0.4241,1.3081,0.5587,0.4896,38.0,BiCA flat vectors: ECFP4 + AAC (each unsqueezed to seq_len=1)
2026-04-02 11:36:37 UTC,bica_chemberta_esm2_8M,bica_chemberta_esm2_8M,bica,chemberta_600,esm2_8M_320,bidirectional_cross_attn,1367809.0,36.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1993,0.5849,0.5044,1.1764,0.6551,0.5806,60.2,BiCA flat vectors: ChemBERTa + ESM-2 8M
2026-04-02 12:13:05 UTC,bica_chemberta_prot_electra,bica_chemberta_prot_electra,bica,chemberta_600,prot_electra_256,bidirectional_cross_attn,1613569.0,46.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.138,0.6073,0.5442,1.1858,0.631,0.5756,43.0,BiCA flat vectors: ChemBERTa + ProtElectra
