model,model_family,split_type,seed,n_train,n_val,n_test,val_rmse,val_mae,val_pearson,test_rmse,test_mae,test_pearson,test_spearman,n_params,train_time_s,epochs_trained,device,timestamp
MLP_shallow_ECFP4-only,mlp,cold_target,456,37028,5289,10581,,,,1.596,1.262,0.041,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,seq_clustered/30pct,42,37028,5289,10581,,,,1.593,1.262,0.084,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,seq_clustered/30pct,123,37028,5289,10581,,,,1.527,1.198,0.161,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,seq_clustered/30pct,456,37028,5289,10581,,,,1.61,1.278,0.06,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,seq_clustered/40pct,42,37028,5289,10581,,,,1.612,1.274,0.113,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,seq_clustered/40pct,123,37028,5289,10581,,,,1.49,1.165,0.093,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,seq_clustered/40pct,456,37028,5289,10581,,,,1.628,1.293,0.163,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,random,42,37028,5289,10581,,,,1.632,1.287,0.139,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,random,123,37028,5289,10581,,,,1.675,1.323,0.135,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,random,456,37028,5289,10581,,,,1.69,1.342,0.113,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,scaffold,42,37028,5289,10581,,,,1.663,1.316,0.138,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,scaffold,123,37028,5289,10581,,,,1.688,1.339,0.117,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,scaffold,456,37028,5289,10581,,,,1.724,1.371,0.14,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,cold_target,42,37028,5289,10581,,,,1.558,1.228,0.118,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,cold_target,123,37028,5289,10581,,,,1.618,1.281,0.084,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,cold_target,456,37028,5289,10581,,,,1.586,1.254,0.102,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,seq_clustered/30pct,42,37028,5289,10581,,,,1.574,1.24,0.091,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,seq_clustered/30pct,123,37028,5289,10581,,,,1.62,1.284,0.047,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,seq_clustered/30pct,456,37028,5289,10581,,,,1.56,1.226,0.064,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,seq_clustered/40pct,42,37028,5289,10581,,,,1.648,1.319,0.215,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,seq_clustered/40pct,123,37028,5289,10581,,,,1.47,1.141,0.096,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4+AAC,mlp,seq_clustered/40pct,456,37028,5289,10581,,,,1.642,1.3,0.099,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,random,42,37028,5289,10581,,,,1.645,1.296,0.149,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,random,123,37028,5289,10581,,,,1.672,1.328,0.156,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,random,456,37028,5289,10581,,,,1.681,1.339,0.114,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,scaffold,42,37028,5289,10581,,,,1.681,1.328,0.124,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,scaffold,123,37028,5289,10581,,,,1.712,1.358,0.112,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,scaffold,456,37028,5289,10581,,,,1.644,1.297,0.158,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,cold_target,42,37028,5289,10581,,,,1.575,1.242,0.043,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,cold_target,123,37028,5289,10581,,,,1.624,1.285,0.078,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,cold_target,456,37028,5289,10581,,,,1.6,1.266,0.053,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,seq_clustered/30pct,42,37028,5289,10581,,,,1.563,1.231,0.142,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,seq_clustered/30pct,123,37028,5289,10581,,,,1.61,1.277,0.088,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,seq_clustered/30pct,456,37028,5289,10581,,,,1.568,1.233,0.144,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,seq_clustered/40pct,42,37028,5289,10581,,,,1.618,1.281,0.122,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,seq_clustered/40pct,123,37028,5289,10581,,,,1.473,1.146,0.098,,,,,cuda,2026-07-23T12:00:00
MLP_deep_ECFP4-only,mlp,seq_clustered/40pct,456,37028,5289,10581,,,,1.65,1.312,0.152,,,,,cuda,2026-07-23T12:00:00
